dep_amt ,dep_days_greater100e,wth_amt ,wth_days_greatter100e,stake_amt,stake_days_greater500e,paid_bonus,no_bets,abs_ggr_days_greater200e,no_logins,vip
120,1,0,0,891,1,0,27,0,4,not VIP
31,0,77,0,2618,2,49,438,0,36,not VIP
330,2,461,1,2621,2,109,181,1,41,not VIP
344,1,0,0,625,1,0,27,1,5,not VIP
106,0,0,0,216,0,51,6,0,7,not VIP
52,0,0,0,52,0,0,1,0,3,not VIP
151,1,610,1,757,0,694,396,0,115,not VIP
235,0,135,1,1981,1,0,275,0,29,not VIP
161,0,60,0,1136,1,0,11796,0,30,not VIP
107,0,316,1,682,0,0,199,0,15,not VIP
279,1,0,1,2226,2,0,11721,0,38,not VIP
105,0,54,0,1248,0,0,608,0,31,not VIP
377,2,0,0,2200,2,0,980,1,9,not VIP
30,0,0,0,5,0,0,17,0,19,not VIP
39,0,70,0,46,0,0,8,0,1,not VIP
105,1,60,0,627,1,20,3501,0,21,not VIP
60,0,0,0,315,0,34,1971,0,17,not VIP
152,0,565,2,1102,0,507,836,1,20,not VIP
249,1,0,0,8668,3,0,852,1,43,not VIP
243,0,60,0,1414,0,18,15951,0,48,not VIP
263,1,259,2,146,0,0,70,0,19,not VIP
335,2,341,2,983,0,0,2682,0,9,not VIP
508,2,0,0,6203,2,0,18670,1,12,not VIP
143,0,151,1,1368,1,0,968,0,7,not VIP
46,0,37,0,130,0,12,88,0,25,not VIP
51,0,70,0,347,0,43,185,0,32,not VIP
153,1,326,1,207,0,0,10,1,7,not VIP
91,0,0,0,2706,1,0,1043,0,39,not VIP
239,1,90,0,1849,1,0,504,0,30,not VIP
30,0,0,0,93,0,0,34,0,8,not VIP
133,0,66,0,427,0,0,186,0,37,not VIP
75,0,30,0,343,0,0,236,0,34,not VIP
92,0,154,0,420,0,0,95,0,24,not VIP
61,0,0,0,359,0,0,286,0,23,not VIP
60,0,0,0,147,0,0,269,0,280,not VIP
1262,3,455,2,32902,10,3,3721,3,100,VIP
149,0,0,0,770,0,0,347,0,141,not VIP
69,0,0,0,605,0,15,340,0,32,not VIP
45,0,0,0,1074,0,23,110,0,127,not VIP
646,2,226,1,1018,1,0,7,1,16,not VIP
30,0,0,0,30,0,0,6,0,17,not VIP
60,0,0,0,626,0,0,54,0,26,not VIP
457,1,247,1,4600,3,0,8900,2,47,not VIP
69,0,0,1,1095,1,0,470,2,9,not VIP
3085,7,3638,8,91498,11,0,24936,10,45,VIP
76,0,0,0,484,0,0,516,0,69,not VIP
182,0,0,0,370,0,0,72,0,32,not VIP
90,0,0,0,1563,1,0,205,0,14,not VIP
15,0,0,0,16,0,0,21,0,78,not VIP
15,0,0,0,24,0,0,139,0,1,not VIP
45,0,0,0,445,0,24,564,0,14,not VIP
723,1,899,6,3243,2,112,2369,0,70,VIP
255,1,0,0,592,1,0,9,1,4,not VIP
115,0,0,0,186,0,0,150,0,25,not VIP
43,0,31,0,52,0,0,10,0,6,not VIP
225,1,422,1,1219,2,0,1291,0,29,not VIP
4574,7,3178,5,42992,11,0,10542,10,86,VIP
54,0,269,1,201,0,0,68,1,15,not VIP
15,0,43,0,88,0,0,12,0,8,not VIP
620,2,0,0,2026,0,0,368,0,128,not VIP
198,0,261,1,1814,2,9,1107,0,47,not VIP
226,1,0,0,1110,1,0,36,1,4,not VIP
75,0,0,0,249,0,0,40,0,43,VIP
480,0,1301,4,16938,9,0,20584,3,116,not VIP
297,1,1210,1,25486,5,56,1062,2,45,not VIP
81,0,0,0,267,0,0,872,0,136,not VIP
226,1,0,0,5064,1,0,95,1,14,not VIP
61,0,0,0,130,0,0,50,0,35,not VIP
130,0,137,0,2284,2,0,10851,0,45,not VIP
150,0,97,0,842,0,15,234,0,40,not VIP
121,1,0,0,413,0,0,11,0,4,not VIP
106,1,0,0,227,0,0,470,0,11,not VIP
91,0,0,0,1224,1,0,70,0,99,not VIP
15,0,0,0,44,0,0,480,0,5,not VIP
106,1,211,1,106,0,0,1,0,11,not VIP
31,0,317,1,932,1,0,2269,0,31,not VIP
174,0,0,0,612,0,0,17,0,19,not VIP
45,0,0,0,208,0,0,154,0,16,not VIP
139,0,91,0,1302,1,0,190,0,16,not VIP
45,0,0,0,13,0,0,6,0,12,not VIP
5055,9,0,0,27126,10,9,1209,7,55,VIP
90,0,0,0,402,0,0,1442,0,48,not VIP
121,0,30,0,3201,3,0,10858,0,15,not VIP
91,0,30,0,120,0,10,521,0,16,not VIP
87,0,0,0,484,0,23,64,0,42,not VIP
150,1,0,0,486,0,0,15,0,9,not VIP
197,1,0,0,1223,1,0,133,0,10,not VIP
45,0,113,1,1456,2,0,3317,0,14,not VIP
91,0,0,0,582,0,0,186,0,11,not VIP
87,0,0,0,627,0,15,225,0,27,not VIP
9877,7,19906,4,289891,11,512,21834,11,96,VIP
102,0,30,0,632,1,0,778,0,12,not VIP
92,0,0,0,204,0,0,575,0,5,not VIP
18,0,0,0,76,0,0,765,0,4,not VIP
212,1,106,1,510,1,0,13,0,20,not VIP
174,1,0,0,1227,1,0,67,0,6,not VIP
45,0,0,0,1314,0,0,726,0,37,not VIP
197,1,0,0,631,1,0,576,0,9,not VIP
92,0,0,0,436,0,53,83,0,37,not VIP
721,4,1094,4,5589,5,0,108,4,258,not VIP
256,0,589,2,1763,1,0,7748,1,36,not VIP
109,0,31,0,1052,0,0,5824,0,25,not VIP
960,3,354,2,8075,4,4,860,1,88,not VIP
1366,2,3412,3,11087,6,0,611,3,40,not VIP
54,0,0,0,115,0,0,472,0,76,not VIP
223,1,0,0,1353,1,0,4390,1,11,not VIP
145,0,0,0,1549,0,35,339,0,139,not VIP
548,1,496,1,21267,9,59,2631,1,65,not VIP
105,0,0,0,458,0,0,155,0,18,not VIP
121,0,15,0,731,0,0,644,0,13,not VIP
112,0,301,1,5280,2,148,10848,0,61,not VIP
46,0,0,0,147,0,0,14,0,8,not VIP
5687,3,1514,1,224040,4,0,1411,4,54,VIP
151,1,151,1,189,0,0,2,0,18,not VIP
435,2,0,0,4056,4,0,4621,0,360,not VIP
15,0,0,0,58,0,0,616,0,1,not VIP
199,0,31,0,2686,2,0,8368,0,55,not VIP
151,1,155,2,0,0,0,0,0,52,not VIP
76,0,0,0,76,0,0,5,0,5,not VIP
152,1,119,1,763,1,0,37,0,6,not VIP
31,0,0,0,563,1,0,225,0,6,not VIP
507,2,0,0,3752,2,77,8491,1,20,not VIP
121,0,0,0,1153,1,0,233,0,17,VIP
16,0,150,1,586,1,153,110,0,39,not VIP
154,0,270,2,590,0,0,15,0,14,not VIP
102,0,0,0,236,0,0,87,0,30,not VIP
31,0,39,0,185,0,8,84,0,22,not VIP
18,0,58,0,489,0,0,1276,0,11,not VIP
376,2,246,1,1309,0,46,197,0,38,VIP
106,1,0,0,973,1,0,85,0,8,not VIP
76,0,0,0,181,0,0,162,0,5,not VIP
456,2,336,1,1874,3,323,110,0,17,not VIP
70,0,61,0,97,0,0,13,0,4,not VIP
31,0,35,0,39,0,0,6,0,4,not VIP
30,0,0,0,105,0,0,1133,0,39,not VIP
23,0,0,0,23,0,0,1,0,13,not VIP
60,0,454,1,650,1,272,85,0,14,not VIP
106,1,0,0,421,0,0,17,0,2,not VIP
300,1,0,0,10622,4,0,585,0,33,not VIP
107,0,0,0,960,1,0,386,0,35,not VIP
90,0,0,0,126,0,0,503,0,63,not VIP
14,0,0,0,249,0,0,817,0,7,not VIP
147,0,341,1,465,0,0,95,1,8,VIP
234,0,166,1,2176,1,62,252,0,97,not VIP
166,1,0,0,271,0,0,7,0,4,not VIP
15,0,0,0,149,0,0,226,0,13,not VIP
144,0,0,0,1224,1,0,118,0,20,not VIP
54,0,92,0,71,0,0,9,0,16,not VIP
15,0,0,0,103,0,0,70,0,23,not VIP
226,1,0,0,478,0,0,36,1,2,not VIP
154,1,0,0,266,0,0,19,0,3,not VIP
1101,1,997,2,29594,11,0,40,7,96,not VIP
400,2,385,1,6059,2,0,266,0,24,not VIP
15,0,12,0,33,0,0,155,0,12,not VIP
278,1,0,0,1173,0,0,57,0,14,not VIP
128,0,30,0,2696,3,0,852,0,27,not VIP
558,1,0,0,1204,1,0,222,1,13,not VIP
9,0,0,0,0,0,0,0,0,2,not VIP
275,1,407,1,2303,1,99,388,0,34,not VIP
53,0,226,1,1523,1,282,2388,0,43,not VIP
9,0,0,0,1,0,0,10,0,3,not VIP
453,2,0,0,1351,2,0,294,1,7,not VIP
4544,7,2103,5,111026,10,0,4608,7,100,VIP
589,3,359,2,1949,1,0,160,0,56,not VIP
170,0,0,0,1018,1,0,507,0,14,not VIP
118,1,0,0,3303,2,0,1176,2,4,not VIP
46,0,0,0,71,0,0,84,0,11,not VIP
145,1,193,1,871,0,0,115,0,11,not VIP
174,0,153,1,1079,0,3,188,0,31,not VIP
60,0,0,0,75,0,0,5,0,12,not VIP
122,0,0,0,582,0,0,5635,0,29,not VIP
76,0,0,0,832,0,56,1912,0,12,not VIP
2111,3,583,1,26074,3,0,841,2,44,not VIP
15,0,0,0,31,0,0,33,0,13,not VIP
242,0,0,0,4023,3,356,7167,0,150,not VIP
107,0,172,1,75,0,169,2,0,9,not VIP
755,1,0,0,7416,4,0,238,1,33,not VIP
83,0,0,0,587,0,0,434,0,18,not VIP
173,0,0,0,25690,4,613,413,1,37,not VIP
141,0,60,0,3034,3,21,798,0,37,not VIP
851,5,0,0,5048,4,0,5011,1,22,not VIP
15,0,0,0,50,0,0,287,0,5,not VIP
256,1,0,0,613,0,0,34,0,15,not VIP
122,0,0,0,2102,3,0,226,0,12,not VIP
181,0,0,0,1218,1,0,39,0,25,not VIP
142,0,0,0,405,0,105,31,0,43,not VIP
91,0,0,0,2009,1,0,5037,0,25,not VIP
843,2,983,3,6966,6,0,1160,0,107,not VIP
165,0,0,0,2211,1,361,4379,1,41,not VIP
597,2,348,1,10509,3,0,1368,0,16,not VIP
113,0,115,0,2261,1,25,1506,0,39,not VIP
199,0,0,0,943,0,0,226,0,35,not VIP
157,1,150,1,3107,1,0,400,0,12,not VIP
271,0,0,0,1668,0,0,603,0,35,not VIP
44,0,31,0,1307,1,0,542,0,22,not VIP
286,2,0,0,4578,2,0,75,1,4,not VIP
128,0,0,0,537,0,1,558,0,58,not VIP
263,2,260,1,8665,4,1093,6611,3,31,not VIP
87,0,0,0,458,0,0,18,0,2,not VIP
166,1,0,0,993,1,0,15,0,1,not VIP
121,1,0,0,433,0,0,12,0,1,not VIP
121,1,0,0,271,0,0,5,0,1,not VIP
45,0,0,0,16,0,0,100,0,97,not VIP
31,0,0,0,31,0,0,1,0,1,not VIP
174,0,0,0,712,0,0,350,0,51,not VIP
152,0,0,0,5095,4,0,10537,1,20,not VIP
45,0,0,0,14,0,0,50,0,66,not VIP
52,0,0,0,851,0,0,117,0,52,not VIP
13,0,0,0,0,0,0,0,0,7,not VIP
175,1,79,0,6082,3,0,723,0,25,not VIP
481,2,201,1,2347,1,71,142,0,344,not VIP
3699,6,2979,2,72674,10,1327,2711,8,141,VIP
30,0,0,0,102,0,0,32,0,6,not VIP
52,0,0,0,109,0,0,61,0,59,not VIP
25,0,0,0,2,0,0,14,0,18,not VIP
146,0,62,0,487,0,0,132,0,47,not VIP
15,0,0,0,25,0,0,146,0,1,not VIP
